id,nome,codigo,preco,preco_custo,estoque_virtual,tipo,situacao,formato,imagem_url,created_at,empresa
16622562458,Jaleco Clinic Azul Marinho Masculino,,195,64.16,0,P,A,V,https://orgbling.s3.amazonaws.com/0faa71155c854bcfc21147ea31c04a05/t/f21c83fda5b484ea511b55e44749e46e?AWSAccessKeyId=AKIATCLMSGFXTAGX6WUM&Expires=1777042201&Signature=FwSbkmSDzah5rXRZd72YCfnhS5E%3D,2026-04-13 20:45:30.903931+00,matriz
16193252379,PUXADOR DANAJALECO 29MM AB20MM OURO COM VERNIZ 186006,,1.71,20,-150,P,A,S,,2026-04-13 20:45:38.863995+00,matriz
15845905822,Ice Touch Microfibra Cores Fortes 34166-Tame,,85.36,20,0,P,A,S,,2026-04-13 20:45:44.405915+00,matriz
16608738378,Jaleco Clinic Bege Masculino,,195,64.16,0,P,A,V,https://orgbling.s3.amazonaws.com/0faa71155c854bcfc21147ea31c04a05/t/f21c83fda5b484ea511b55e44749e46e?AWSAccessKeyId=AKIATCLMSGFXTAGX6WUM&Expires=1777042201&Signature=FwSbkmSDzah5rXRZd72YCfnhS5E%3D,2026-04-13 20:45:30.903931+00,matriz
11083743163,ZIPER PLASTICO #5 SEPAR TAM-75 - T: 11 - TINTO,,3.5,20,-5,P,A,S,,2026-04-13 20:45:51.412752+00,matriz
16554864407,Colete Unissex Gabardine,,130,84.3,0,P,A,V,,2026-04-13 20:45:30.903931+00,matriz
16263614458,Conjunto Infantil,,280,0,0,P,A,S,,2026-04-13 20:45:37.090921+00,matriz
16608740460,Jaleco Clinic Preto Masculino,,195,64.16,0,P,A,V,https://orgbling.s3.amazonaws.com/0faa71155c854bcfc21147ea31c04a05/t/f21c83fda5b484ea511b55e44749e46e?AWSAccessKeyId=AKIATCLMSGFXTAGX6WUM&Expires=1777042201&Signature=FwSbkmSDzah5rXRZd72YCfnhS5E%3D,2026-04-13 20:45:30.903931+00,matriz
16552104645,Jaleco Manoel Branco Detalhes Bordô,,250,69.09,0,P,A,V,,2026-04-13 20:45:30.903931+00,matriz
15959217200,LINHA COSTURA ALGODAO,,78.7,20,0,P,A,S,,2026-04-13 20:45:42.589925+00,matriz
16284693174,TOYOTA HILUX SWDMDA4JD,,281965,0,0,P,A,S,,2026-04-13 20:45:37.090921+00,matriz
16506783292,Jaleco Unissex Branco,,180,69.09,0,P,A,S,,2026-04-13 20:45:30.903931+00,matriz
11097177003,BOTOES DE POLIESTER                      L-P01 TAM 24,,12.79,20,0,P,A,S,,2026-04-13 20:45:51.412752+00,matriz
16552104292,Jaleco Manuela Branco Detalhes Bordô,,240,69.09,0,P,A,V,,2026-04-13 20:45:30.903931+00,matriz
16552092285,Jaleco Manuela Branco Detalhes cinza,,240,69.09,0,P,A,V,,2026-04-13 20:45:30.903931+00,matriz
16611214305,Jaleco Lis verde escuro,,150,48.19,0,P,A,V,,2026-04-13 20:45:30.903931+00,matriz
16514803048,Jaleco Manoel Estampado Jardim ABC,,280,94.04,0,P,A,V,,2026-04-13 20:45:30.903931+00,matriz
16636128361,Regata Tec Easy Poliamida Azul Royal,,89.9,20.39,0,P,A,V,,2026-04-20 22:20:06.795269+00,matriz
8219528008,Jaleco Feminino 2ª Linha Promoçao/promocional,000-SD-000-000-F-000,100,20,0,P,A,S,,2026-04-13 20:46:09.332778+00,matriz
8219543634,Jaleco Masculino  2ª Linha Promoçao/promocional,000-SD-000-000-M-000,100,20,0,P,A,S,,2026-04-13 20:46:09.332778+00,matriz
16120062104,Gorro Unissex D. Lurex Bordo,002-DD-002-002-F,70,9.79,7,P,A,S,,2026-04-13 20:45:40.583611+00,matriz
16120059965,Gorro Unissex D. Lurex Rosa Nude,002-DD-005-005-F,70,9.79,0,P,A,S,,2026-04-13 20:45:40.583611+00,matriz
16120066960,Gorro Unissex D. Lurex Preto,002-DD-012-012-F,70,9.79,-1,P,A,S,,2026-04-13 20:45:40.583611+00,matriz
