produto,total_pedidos,total_quantidade,total_receita,preco_medio
Jaleco Manuela Branco,774,3602.00,481478.77,160.38
Jaleco Manuela Chumbo,223,1333.00,194249.00,160.13
Jaleco Manoel Branco,320,1406.00,183052.24,148.29
Scrub Feminino Preto,231,1058.00,171881.56,173.71
Jaleco Isabel Off White,127,389.00,152416.03,391.17
Jaleco Isabel Rosa Nude,117,482.00,149098.53,307.89
Jaleco Marta Branco Manga Longa,344,721.00,128722.34,182.20
Jaleco Heloisa Branco,135,347.00,125616.99,358.00
Jaleco Manuela Es,108,448.00,121071.05,277.83
Scrub Feminino Azul Marinho,172,491.00,106103.50,215.37
Jaleco Manuela Azul Marinho,158,570.00,104184.20,190.09
Scrub Feminino Bege,86,430.00,89258.91,219.09
Jaleco Samuel Branco,108,242.00,84239.65,344.36
Jaleco Manoel Chumbo,172,505.00,79399.07,166.41
Jaleco Isabel Preto,61,196.00,79148.20,394.67
Jaleco Chloe Branco,135,302.00,76345.84,250.24
Jaleco Laila Branco,94,210.00,75077.00,356.07
Jaleco Manuela Preto,93,351.00,73135.00,207.25
Scrub Feminino Chumbo,99,311.00,71329.67,226.13
Turbante Preto,175,1680.00,69349.63,51.03
Scrub Masculino Preto,124,335.00,69290.24,202.25
Jaleco Bernardo Branco,155,377.00,64932.40,175.88
Jaleco Manoel Azul Marinho,138,349.00,64514.25,191.48
Jaleco Isabel Camel,33,140.00,63575.39,444.95
Jaleco Tec Easy Clara Azul Marinho,68,157.00,63541.00,405.44
Jaleco Heloisa Azul Marinho,85,179.00,63134.00,347.52
Scrub FemininoTec Easy Loren Preto,57,134.00,59503.56,443.09
Scrub MasculinoTec Easy Lorenzo Azul Marinho,69,131.00,58199.08,441.75
Jaleco Tec Easy Clara Cacau,99,145.00,57741.23,395.62
Gorro Unissex D. Preto,176,1649.00,57496.10,39.97
Scrub MasculinoTec Easy Lorenzo Preto,66,130.00,56292.72,424.36
Scrub FemininoTec Easy Loren Verde Militar,61,132.00,56047.26,427.24
Jaleco Samuel Azul Marinho,78,155.00,54138.72,344.76
Jaleco Tec Easy Clara Branco,72,136.00,53683.26,394.81
Jaleco Diana Preto,28,110.00,53213.50,471.93
Scrub Feminino Glamour Off White,51,152.00,52206.62,339.47
Crachá Magnético Dourado,424,786.00,50628.46,66.18
Jaleco Isabel Azul Marinho,29,110.00,50370.55,454.12
Jaleco Heloisa Preto,48,148.00,49888.00,327.11
Jaleco Diana Branco,27,102.00,49633.83,480.89
Jaleco Tec Easy Clara Preto,57,122.00,49477.05,403.48
Jaleco Samuel Chumbo,69,138.00,48462.00,346.76
Jaleco Laila Preto,36,135.00,48051.75,349.69
Jaleco Samuel Preto,53,136.00,47507.20,337.57
Scrub Feminino Tec Easy Loren  Azul Marinho,59,108.00,46691.31,432.28
Scrub MasculinoTec Easy Lorenzo Verde Militar,58,105.00,46359.12,437.63
Scrub Masculino Azul Marinho,121,213.00,45715.29,218.91
Jaleco Heloisa Bordô,61,184.00,45231.00,245.54
Turbante Azul Marinho,128,1076.00,44497.58,50.55
Scrub Comfy Feminino Azul Marinho,72,125.00,44026.02,349.23
Scrub Feminino Verde Escuro,83,200.00,42653.10,216.46
Jaleco Isabel Azul Bebe,7,92.00,42320.00,460.00
Jaleco Heloisa Armany,58,120.00,42288.00,343.71
Jaleco Tec Easy Benicio Preto,50,105.00,41908.67,393.58
Serviço de Bordado,460,996.00,41667.32,63.96
Jaleco Manoel Es,79,157.00,41165.94,260.49
Scrub FemininoTec Easy Loren Cacau,44,94.00,41088.39,429.81
Gorro Unissex A. Preto,150,1204.00,39254.54,39.71
Jaleco Manuela Verde Escuro,40,180.00,38443.00,213.26
Colete Ayla Branco,61,129.00,38417.26,296.44
Jaleco Manuela Cinza,44,178.00,38104.00,213.72
Jaleco Manuela Monster,67,148.00,37764.38,254.91
Jaleco Chloe Es,45,131.00,36965.44,281.53
Scrub Feminino Azul Bebê,34,167.00,36798.40,221.06
Jaleco Tec Easy Benicio Aço,49,93.00,36470.94,386.05
Jaleco Manuela Bege,75,168.00,36268.89,215.20
Jaleco Chloe Preto,42,141.00,35969.00,254.21
Scrub Feminino Comfy  Preto,46,99.00,35796.00,358.90
Scrub FemininoTec Easy Loren Branco,34,80.00,35687.77,443.21
Jaleco Tec Easy Benicio Azul Marinho,59,88.00,35474.95,401.36
Scrub Masculino Chumbo,81,158.00,35052.32,221.24
Scrub Feminino Bordo,82,154.00,34259.00,220.49
Jaleco Samuel Armany,44,100.00,34214.00,327.69
