ano,mes,produto,total_pedidos,total_quantidade,total_receita,preco_medio
2026,4,Gorro Unissex D. Lilás,2,122.00,4636.00,38.00
2026,4,Scrub Feminino Lilas,2,122.00,26840.00,220.00
2026,4,Jaleco Marta Branco Manga Longa,6,70.00,12333.38,182.58
2026,4,Scrub Feminino Preto,10,64.00,14200.00,223.64
2026,4,Scrub Feminino Azul Bebê,3,57.00,12540.00,220.00
2026,4,Scrub Feminino Azul Marinho,10,56.00,12391.99,223.60
2026,4,Gorro  Unissex D. Azul Bebe,2,54.00,2052.00,38.00
2026,4,Mouse Pad Dupla Face,11,54.00,912.60,16.90
2026,4,Gorro Unissex D.  Azul Marinho,3,53.00,2021.00,39.75
2026,4,Serviço de Bordado,7,48.00,1360.00,64.44
2026,4,Porta Canetas Dupla Face,6,46.00,777.40,16.90
2026,4,Desk Pad Dupla Face,6,46.00,3445.40,74.90
2026,4,Porta Copo Dupla Face,5,44.00,347.60,7.90
2026,4,Bandeja Office Dupla Face,5,44.00,1755.60,39.90
2026,4,Porta Objetos Dupla Face,5,44.00,875.60,19.90
2026,4,Jaleco Bernardo Branco,4,41.00,7370.00,194.50
2026,4,Scrub Masculino Preto,6,39.00,8600.00,221.43
2026,4,Scrub Feminino Chumbo,12,38.00,8665.12,237.95
2026,4,Jaleco Manuela Azul Marinho Detalhes Dourado,1,28.00,6020.00,215.00
2026,4,Jaleco Manuela Verde Escuro,3,27.00,5580.00,209.09
2026,4,Jaleco Manuela Chumbo Botão Dourado,1,26.00,5330.00,205.00
2026,4,Turbante Preto,4,25.00,1518.06,63.01
2026,4,Gorro Unissex A. Preto,6,24.00,1104.76,48.10
2026,4,Turbante Branco,3,23.00,1398.58,64.65
2026,4,Turbante Azul Marinho,2,22.00,1332.56,64.19
2026,4,Jaleco Manuela Branco,11,19.00,3810.98,200.65
2026,4,Jaleco Manuela Es,6,19.00,4831.80,265.52
2026,4,Jaleco Manoel Bege,12,16.00,3299.95,217.85
2026,4,Gorro Unissex D. Chumbo,3,15.00,683.75,47.92
2026,4,Jaleco Manoel Azul Marinho Detalhes Dourado,1,14.00,3010.00,215.00
2026,4,Jaleco Chloe Preto,1,13.00,3445.00,265.00
2026,4,Jaleco Tec Easy Clara Azul Marinho,9,13.00,5528.50,424.88
2026,4,Scrub Feminino Rosa Nude,8,12.00,2835.04,239.50
2026,4,Scrub Masculino Azul Marinho,7,12.00,2829.12,237.19
2026,4,Jaleco Manuela Rosa Nude,3,11.00,2395.00,228.33
2026,4,Scrub Feminino Comfy  Preto,3,10.00,3720.00,368.00
2026,4,Scrub Feminino Bege,4,10.00,2384.00,238.67
2026,4,Jaleco Manoel Azul Marinho,3,10.00,2365.00,230.71
2026,4,Scrub Masculino Chumbo,3,9.00,1922.38,205.60
2026,4,Jaleco Tec Easy Clara Cacau,7,9.00,3853.06,428.12
2026,4,Jaleco Chloe Chumbo,1,8.00,2240.00,280.00
2026,4,Turbante Chumbo,2,8.00,505.12,63.14
2026,4,Jaleco Manuela Azul Marinho,2,8.00,1685.00,214.00
2026,4,Scrub FemininoTec Easy Loren Azul Ciano,2,8.00,3578.92,446.99
2026,4,Scrub FemininoTec Easy Loren Aço,2,8.00,3687.32,467.46
2026,4,Scrub Feminino Verde Escuro,6,8.00,1760.00,220.00
2026,4,Camiseta Scrub Feminina AVULSA,1,8.00,880.00,110.00
2026,4,Bordado - Escrita Nome,1,8.00,160.00,20.00
2026,4,Jaleco Chloe Branco,4,8.00,1996.52,239.42
2026,4,Jaleco Manoel Preto,2,7.00,1762.69,252.54
2026,4,Gorro Unissex D. Preto,4,7.00,315.00,45.00
2026,4,Jaleco Manuela Azul Médio,4,7.00,1615.00,235.00
