descricao,codigo,total_pedidos,total_quantidade,total_receita,preco_medio,ultima_venda
Aplicação Bordado,1005,426,1334.00,31296.38,26.98,2026-04-23
Crachá Magnético Dourado,010-CR-001-001,122,179.00,11522.40,65.40,2026-04-23
Jaleco Marta Branco Manga Longa Tamanho:P,372-SD-008-000-F-P00,100,146.00,26127.53,175.43,2026-04-10
Jaleco Manuela Branco Tamanho:M,373-SD-008-000-F-M00,129,141.00,24806.20,176.66,2026-03-31
Jaleco Manuela Branco Tamanho:P,373-SD-008-000-F-P00,121,140.00,24264.90,172.97,2026-04-16
CONSERTO,222222,92,106.00,110.00,1.03,2026-04-15
Jaleco Marta Branco Manga Longa Tamanho:M,372-SD-008-000-F-M00,72,104.00,17889.68,170.18,2026-04-16
Matriz Bordado,2077,92,97.00,6125.10,63.28,2026-04-16
Turbante Preto,004-SD-012,70,95.00,5763.63,60.65,2026-04-23
Jaleco Marta Branco Manga Longa Tamanho:PP,372-SD-008-000-F-PP0,81,95.00,16970.93,176.84,2026-04-09
Jaleco Manuela Branco Tamanho:PP,373-SD-008-000-F-PP0,77,93.00,16592.90,178.27,2026-04-18
Crachá Magnético Prata,010-CR-002-002,51,77.00,5253.50,68.73,2026-04-17
Jaleco Heloisa Branco Tamanho:M,300-SD-052-000-F-M00,53,75.00,23406.75,325.56,2026-04-01
Jaleco Heloisa Branco Tamanho:P,300-SD-052-000-F-P00,45,71.00,23479.00,347.79,2026-03-31
Gorro  Unissex D. Preto,002-SD-012-000-F,37,68.00,3065.00,45.14,2026-04-15
Jaleco Manuela Branco Tamanho:G,373-SD-008-000-F-G00,59,63.00,11072.40,176.93,2026-04-23
Turbante Azul Marinho,004-SD-015,49,58.00,3423.41,58.87,2026-04-12
Gorro Unissex A. Preto,002-SD-012-000-M,43,56.00,2504.29,45.67,2026-04-13
Gorro  Unissex D.  Azul Marinho,002-SD-015-000-F,29,56.00,2455.50,42.85,2026-04-15
Jaleco Bernardo Branco Tamanho:P,340-SD-008-000-M-P00,34,53.00,9540.35,176.70,2026-03-27
Jaleco Bernardo Branco Tamanho:M,340-SD-008-000-M-M00,29,44.00,8118.35,181.92,2026-04-07
Jaleco Marta Branco Manga Longa Tamanho:G,372-SD-008-000-F-G00,41,43.00,7707.17,178.51,2026-04-22
Jaleco Heloisa Branco Tamanho:G,300-SD-052-000-F-G00,36,42.00,13810.50,333.35,2026-04-13
Turbante Branco,004-SD-008,36,42.00,2510.50,60.15,2026-04-21
Calça Scrub Feminina AVULSA,062-SD-000-000-F-000,18,41.00,3859.35,101.57,2026-03-26
Camiseta Scrub Feminina AVULSA,061-SD-000-000-F-000,22,41.00,5127.40,132.18,2026-03-26
Gorro Unissex A. Azul Marinho,002-SD-015-000-M,28,40.00,1796.00,44.86,2026-04-04
Jaleco Manuela Algodao Branco Tamanho:M,373-AL-008-000-F-M00,35,39.00,7580.00,194.21,2026-03-11
Jaleco Manuela Algodao Branco Tamanho:P,373-AL-008-000-F-P00,37,39.00,7820.00,200.51,2026-04-10
Scrub Feminino Azul Marinho Tamanho:M,060-SD-015-015-F-M00,22,38.00,8522.10,210.27,2026-03-12
Jaleco Heloisa Branco Tamanho:PP,300-SD-052-000-F-PP0,23,37.00,12573.00,343.61,2026-04-23
Gorro  Unissex D. Branco,002-SD-008-000-F,31,37.00,1585.00,42.42,2026-04-02
Turbante Verde Militar,004-SD-068,26,35.00,2089.58,60.28,2026-04-12
Jaleco Samuel Branco Tamanho:G,991-SD-052-000-M-G00,26,34.00,11003.00,323.58,2026-04-13
