produto,qtd_90d,media_diaria_90d,projecao_mensal
Jaleco Manuela Branco,494.00,5.49,164.7
Scrub Feminino Preto,188.00,2.09,62.7
Gorro Unissex D. Preto,178.00,1.98,59.3
Jaleco Marta Branco Manga Longa,157.00,1.74,52.3
Serviço de Bordado,148.00,1.64,49.3
Gorro  Unissex D.  Verde Escuro,134.00,1.49,44.7
Jaleco Manoel Branco,132.00,1.47,44.0
Scrub Feminino Azul Marinho,124.00,1.38,41.3
Scrub Feminino Lilas,122.00,1.36,40.7
Gorro Unissex D. Lilás,122.00,1.36,40.7
Turbante Preto,110.00,1.22,36.7
Turbante Azul Marinho,110.00,1.22,36.7
Crachá Magnético Dourado,95.00,1.06,31.7
Turbante Branco,95.00,1.06,31.7
Gorro Unissex D.  Azul Marinho,77.00,0.86,25.7
Jaleco Bernardo Branco,77.00,0.86,25.7
Mouse Pad Dupla Face,75.00,0.83,25.0
Scrub Masculino Preto,70.00,0.78,23.3
Gorro Unissex A. Preto,69.00,0.77,23.0
Jaleco Clinic Branco Feminino,69.00,0.77,23.0
Porta Canetas Dupla Face,67.00,0.74,22.3
Desk Pad Dupla Face,67.00,0.74,22.3
Jaleco Manuela Azul Marinho,65.00,0.72,21.7
Porta Copo Dupla Face,65.00,0.72,21.7
Bandeja Office Dupla Face,65.00,0.72,21.7
Porta Objetos Dupla Face,65.00,0.72,21.7
Scrub Feminino Chumbo,64.00,0.71,21.3
Scrub Feminino Bege,61.00,0.68,20.3
Scrub Feminino Azul Bebê,59.00,0.66,19.7
Jaleco Manuela Chumbo,56.00,0.62,18.7
Gorro  Unissex D. Azul Bebe,55.00,0.61,18.3
Jaleco Manuela Es,52.00,0.58,17.3
Gorro Unissex D.  Cinza,49.00,0.54,16.3
Jaleco Manoel Bege,47.00,0.52,15.7
Jaleco Manoel Azul Marinho,42.00,0.47,14.0
Scrub Feminino Verde Escuro,42.00,0.47,14.0
Jaleco Manuela Verde Escuro,40.00,0.44,13.3
Gorro Unissex D. Branco,40.00,0.44,13.3
Jaleco Manuela Algodao Branco,38.00,0.42,12.7
Scrub Masculino Azul Marinho,38.00,0.42,12.7
Gorro Unissex D. Bordô,36.00,0.40,12.0
Jaleco Heloisa Branco,34.00,0.38,11.3
Jaleco Isabel Rosa Nude,34.00,0.38,11.3
Scrub Feminino Glamour Off White,33.00,0.37,11.0
Jaleco Clinic Bege Feminino,33.00,0.37,11.0
Jaleco Manuela Preto,32.00,0.36,10.7
Scrub Feminino Rosa Nude,32.00,0.36,10.7
Scrub Feminino Glamour Azul Marinho,31.00,0.34,10.3
Scrub Feminino Bordo,31.00,0.34,10.3
Jaleco Manuela Chumbo Botão Dourado,31.00,0.34,10.3
Jaleco Manuela Azul Marinho Detalhes Dourado,30.00,0.33,10.0
Jaleco Manoel Chumbo,30.00,0.33,10.0
Jaleco Tec Easy Clara Azul Marinho,29.00,0.32,9.7
Camiseta Scrub Masculino AVULSA,28.00,0.31,9.3
Turbante Marrom,28.00,0.31,9.3
Jaleco Clinic Es,27.00,0.30,9.0
Gorro Unissex D. Chumbo,26.00,0.29,8.7
Scrub Comfy Feminino Azul Marinho,26.00,0.29,8.7
Jaleco Manuela Bege,26.00,0.29,8.7
Scrub Masculino Chumbo,25.00,0.28,8.3
Camiseta Scrub Feminina AVULSA,25.00,0.28,8.3
Jaleco Manuela Cinza,24.00,0.27,8.0
Jaleco Heloisa Bege Aveia,23.00,0.26,7.7
Turbante Bordô,23.00,0.26,7.7
Scrub Feminino Comfy  Preto,23.00,0.26,7.7
Gorro  Unissex A. Azul Marinho,23.00,0.26,7.7
Jaleco Chloe Cinza,23.00,0.26,7.7
Gorro Unissex A. Bordô,22.00,0.24,7.3
Jaleco Manuela Rosa Nude,22.00,0.24,7.3
Jaleco Chloe Branco,21.00,0.23,7.0
Jaleco Chloe Chumbo,21.00,0.23,7.0
Jaleco Manuela Lilás,19.00,0.21,6.3
Scrub Feminino Tec Easy Loren  Azul Marinho,19.00,0.21,6.3
Jaleco Chloe Preto,19.00,0.21,6.3
Jaleco Bernardo Azul Marinho,18.00,0.20,6.0
Jaleco Heloisa Azul Marinho,18.00,0.20,6.0
Jaleco Maitê Branco,17.00,0.19,5.7
Calça Scrub Masculino AVULSA,17.00,0.19,5.7
Jaleco Isabel Off White,17.00,0.19,5.7
Jaleco Manuela Azul Médio,16.00,0.18,5.3
Turbante Chumbo,16.00,0.18,5.3
Jaleco Manoel Es,16.00,0.18,5.3
Jaleco Tec Easy Clara Branco,16.00,0.18,5.3
Scrub MasculinoTec Easy Lorenzo Verde Militar,16.00,0.18,5.3
Crachá Magnético Prata,15.00,0.17,5.0
Jaleco Clinic Preto Feminino,15.00,0.17,5.0
Scrub Feminino Azul Médio,15.00,0.17,5.0
Jaleco Manoel Preto,15.00,0.17,5.0
Jaleco Tec Easy Clara Cacau,15.00,0.17,5.0
Turbante Brasil,15.00,0.17,5.0
Jaleco Manoel Azul Marinho Detalhes Dourado,15.00,0.17,5.0
Scrub FemininoTec Easy Loren Verde Militar,14.00,0.16,4.7
Jaleco Isac Branco,14.00,0.16,4.7
Jaleco Manoel Cinza,14.00,0.16,4.7
Camiseta Scrub Feminino CONFY AVULSA,14.00,0.16,4.7
Jaleco Manu Branco detalhes Vies Rosa Nude rec Princesa,13.00,0.14,4.3
Jaleco Samuel Branco,13.00,0.14,4.3
Jaleco Heloisa Bordô,13.00,0.14,4.3
Jaleco Manuela Verde Claro,13.00,0.14,4.3
Calça Scrub Feminino CONFY AVULSA,13.00,0.14,4.3
