bling_id,nome,codigo,tipo_pessoa,documento,inscricao_estadual,situacao,telefone,celular,email,website,endereco,numero,bairro,cep,cidade,uf,observacoes
18074873468,LWSA S/A,29080,J,02351877001124,ISENTO,A,,,,,Rua Olavo Bilac,914,Imigrante,95702000,Bento Gonçalves,RS,
18065154851,PUBLI HOUSE BRASIL LTDA,28968,J,05239431000129,672232696119,A,(11) 2885-5275,,,,Avenida Senador Roberto Simonsen,1370,Jardim Imperador,08673270,Suzano,SP,
17993720163,Peak Importadora Ltda,27933,J,61048664000115,084557338,A,(27) 99699-1368,,,,R. Porto de Tubarão,280,"GALPAO. SALA 2, Civit I",29141180,Serra,ES,
17993717310,SEBASTIANA COMERCIAL LTDA,27932,J,60954095000104,154136115110,A,,,,,R Da Gloria,271,Liberdade,01510001,São Paulo,SP,
17993715549,57.528.571 LIGIA FERREIRA DE ANDRADE,27931,J,57528571000110,151092047118,A,,,,,R Oldegard Olsen Sapucaia,66,Jardim Luso,04421000,São Paulo,SP,
17993712114,AMG COMERCIO DE FLORES LTDA,27930,J,56390661000125,263084779,A,(47) 99111-0234,,,,Rua DONA FRANCISCA,81,AREIAS DE BAIXO,88190000,Governador Celso Ramos,SC,
17993708905,WL BENEFICIAMENTO TEXTIL LTDA,27929,J,52150526000151,262522144,A,(47) 99220-0118,,,,RUA IPIRANGA,60,SOUZA CRUZ,88354420,Brusque,SC,
17993699799,MAVICAZZA ARC LTDA,27928,J,36525623000125,681098916117,A,,,,,RUA ORIVALDO ALVES OLIVEIRA,074,PARQUE IMPERIAL,15172410,Tanabi,SP,
17993694884,R-TRADE COMERCIAL IMPORTADORA LTDA,27927,J,16845496000134,256830894,A,(47) 3344-5322,,,,Rua: Prefeito Manoel Evaldo Muller,3366,Volta Grande,88371680,Navegantes,SC,
17993690057,TUDAO TECH LTDA,27926,J,11389858000106,0015146990077,A,(31) 98484-4947,,,,AVENIDA MIGUEL BARTOLOMEU,255,FAZENDA DA TAPERA,32150244,Contagem,MG,
17993687824,RKS INFORMATICA COMERCIO E SERVICOS LTDA,27925,J,11332583000174,082696268,A,(27) 3019-9999,,,,Rua Sete de Setembro,515,Centro de Vila Velha,29100301,Vila Velha,ES,
17993677506,TECNOPAR TECNOLOGIA EM AUTOMACOES LTDA,27924,J,08829865000177,9040471208,A,,,,,Rua Benjamim Constant,739,Nao informado,84600290,União da Vitória,PR,
17993676475,M.M.R. TAVARES LTDA,27923,J,06790159000133,606198058112,A,(19) 3457-2147,,,,Rua Holanda,1739,Jardim Europa I,13455441,Santa Bárbara D'Oeste,SP,
17942096292,TATI RAQUEL PIRES LTDA,27535,J,49595213000100,262146479,A,,,,,RUA NEREU RAMOS,419,CENTRO,88780000,Imbituba,SC,
17942083727,KAZUO MAGAZINE LTDA,27534,J,45477259000166,134434245117,A,(11) 99711-4142,,,,Avenida Deputado Emilio Carlos,118,Limao,02720000,São Paulo,SP,
17942071419,AFC COMERCIO VAREJISTA DE COMPONENTES ELETRONICOS LTDA,27533,J,18983263000123,127679413110,A,(11) 3090-1236,,,,Avenida Papa Joao Paulo I,4006,Residencial Parque Cumbica,07174005,Guarulhos,SP,
17941993847,FACILIT IMPORT. E DISTRIB. LTDA,27532,J,05563948000179,254532349,A,(47) 3325-1710,,,,RUA BERNARDO REITER,214,VELHA,89046200,Blumenau,SC,
17941948366,REFRIGERACAO DUFRIO COM E IMP S.A.,27531,J,01754239004611,0018855260600,A,,,,,Av Cristiano Machado,8853,Sao Bernardo,31741401,Belo Horizonte,MG,
17903207504,INDUSTRIA TEXTIL APUCARANA LTDA,27358,J,75284224001496,261418963,A,,,,,AV PRIMEIRO DE MAIO,38,PRIMEIRO DE MAIO,88353201,Brusque,SC,
17903204692,RELOAD MAX LTDA,27357,J,63704722000147,156829084110,A,,,,,MARIA CURUPAITI,441,VILA ESTER  ZONA NORTE,02452001,São Paulo,SP,
17903178502,WORD IMPORTS LTDA,27356,J,41800036000137,0040375080058,A,(31) 98621-4203,,,,R Cleonice Coelho De Oliveira,143,Nova Uniao,33861525,Ribeirão das Neves,MG,
17903139889,PAPEIS & PAPEIS - PAPELARIA E INFORMATICA LTDA,27355,J,07911143000102,255159161,A,(47) 3348-1920,,,,Rua ESTUDANTE RENATO VICTORINO,270,DOM BOSCO,88307250,Itajaí,SC,
17870536244,MOVE DISTRIBUIDORA SOLAR LTDA,27271,J,47471689000104,261842676,A,(47) 99160-5708,,,,RUA LAURO ZIMERMAN,1224,ESOLINHA,89270000,Guaramirim,SC,
17870534820,ARTE DA EMILLY LTDA,27270,J,45115614000157,134137914112,A,(11) 98681-8760,,,,Estrada da Riviera,3010,Jardim Figueira Grande,04916000,São Paulo,SP,
17870500256,Brasil Botoes Ltda,27269,J,05480257000101,254713629,A,(47) 3370-3011,,,,RUA ALWIN MEIER,77,JARAGUA 99,89260840,Jaraguá do Sul,SC,
17836408099,MA COMERCIO DE PRODUTOS ELETRONICOS LTDA,27194,J,22005727000102,9097375248,A,(21) 96421-2496,,,,R Luiz Carlos Zani,299,Parque Industrial,86200000,Ibiporã,PR,
17836405581,VG LASER COMERCIO E REPARACAO DE MAQUINAS,27193,J,43075026000101,131750207112,A,(11) 96641-1826,,,,Rua Professor Jose de Sousa,30,Parque Boturussu,03801010,São Paulo,SP,
17812550581,TARUMA AGROPECUARIA COMERCIAL LTDA,27128,J,57283327000135,114893068112,A,(11) 99360-3266,,,,Avenida Imperatriz Leopoldina,1572,Vila Leopoldina,05305002,São Paulo,SP,
17812543887,GMS SHOPP LTDA,27127,J,55363818000160,14768483,A,(19) 9708-9610,,,,Rua Barao,717,Praca Seca,21321620,Rio de Janeiro,RJ,
17812529950,JASK VARIEDADES LDA,27126,J,53776798000124,135164092114,A,,,,,R Joao Ventura Batista,200,Vila Guilherme,02054100,São Paulo,SP,
17811864141,LULU MIX COMERCIO DE VARIEDADES LTDA,27123,J,50768952000209,135997484115,A,,,,,Via Anhanguera,S/N,Nao informado,05275000,São Paulo,SP,
17811789616,PARIS BC LTDA,27121,J,47242915000177,261813838,A,(11) 99999-9999,,,,AVENIDA ATLANTICA,2010,AVENIDA ATLANTICA N 3640,88330024,Balneário Camboriú,SC,
17811752717,BIHOUSE TELECOM LTDA,27120,J,30018953000148,9077694533,A,(41) 99625-8506,,,,Rua Rio Negro,1049,Weissopolis,83322030,Pinhais,PR,
17811680793,RICARDO CORDEIRO VILLANO,27118,J,18796906000120,142756345118,A,(11) 97620-9677,,,,Rua Articura,56,Vila Isolina Mazzei,02084150,São Paulo,SP,
17747918269,RB CADEIRAS E ACESSORIOS PARA MOVEIS LTDA,26729,J,46800208000196,127695640112,A,(11) 96608-1983,,,,AV REGIS,540,CUMBICA,07180120,Guarulhos,SP,
17747913929,EHF SUPRIMENTOS CORPORATIVOS E DOMESTICOS LTDA,26728,J,41728587000137,131076960118,A,(11) 97752-6691,,,,Rua Cesario Alvim,263,Belenzinho,03054000,São Paulo,SP,
17747903695,MIRANTE IND. E COM. LTDA,26727,J,23966188000122,257853740,A,(47) 3397-4281,,,,RUA ANFILOQUIO NUNES PIRES,5021,BELA VISTA,89111081,Gaspar,SC,
17747896511,P2P purificadores de agua LTDA,26726,J,17443119000131,11526918,A,(21) 99313-0000,,,,Rua Barata Ribeiro,370,Copacabana,22040901,Rio de Janeiro,RJ,
17747882785,J I DOS SANTOS TOTAL FILTROS LTDA,26725,J,11433068000180,082866635,A,,,,,Rua Amsterdam,087,Aracas,29103098,Vila Velha,ES,
17747859987,HIPER DIFERENTE ATACADO DE VARIEDADES LTDA,26724,J,08698239000199,255352565,A,,,,,AV MARGINAL LESTE,600 -,CENTRO,88330116,Balneário Camboriú,SC,
17742831528,MAXIMOLAB COMERCIO DE PRODUTOS LABORATORIAS IMPORTACAO E EXP,26705,J,34078272000126,279100861118,A,(16) 99407-1223,,,,R Lucas Ferdinando,956,Jardim Julia,14140000,Cravinhos,SP,
17727668440,RE9 COMERCIO DE BRINDES LTDA,26613,J,57332618000176,9109710188,A,(41) 99695-5186,,,,RUA RIO NEGRO,215,JARDIM TRES RIOS,83603150,Campo Largo,PR,
17696338070,MORAIS SANTOS COMERCIO E CONSULTORIA LTDA,26463,J,12365923000398,0049224930085,A,,,,,R Lamartine Silva Paiva,1070,Jardim Olimpico,37558449,Pouso Alegre,MG,
17683617547,CUSTOM APLIQUES LTDA,26425,J,59786370000149,263469522,A,(47) 3351-3319,,,,RUA POCO FUNDO,N.80,PRIMEIRO DE MAIO,88353538,Brusque,SC,
17683598074,TEXTIL FARBE S.A.,26424,J,81303463000477,255702124,A,(47) 3330-6562,,,,RUA DR. BLUMENAU,7625,ENCANO,89086550,Indaial,SC,
17683580770,CRONUS STORE LTDA,26422,J,56097402000100,263060632,A,,,,,Av Irineu Bornhausen,360,Sao Joao,88304000,Itajaí,SC,
17683416930,GVS PROMOCIONAL LTDA,26420,J,40859098000151,130626283113,A,,,,,Rua Taquari,1166,Mooca,03166001,São Paulo,SP,
17683389119,THYAGO ANTUNES DIMOV 45386143867,26419,J,31567037000120,123259492119,A,(11) 3892-9383,,,,Rua Agostinho da Faria,482,Cidade Lider,08280100,São Paulo,SP,
17683305308,PLATINUM CONSULTORIA E E-COMMERCE LTDA,26417,J,07684724000140,582694441115,A,(11) 98771-6611,,,,Rua Amelia de Oliveira Rosseto,201,Parque das Figueiras,14065690,Ribeirão Preto,SP,
17629634181,KOCH HIPERMERCADO S/A,26205,J,02831172006254,261309889,A,(47) 3228-8120,,,,RUA VEREADOR ANTONIO PEREIRA,4037,SANTO ANTONIO,88380000,Balneário Piçarras,SC,
17605709975,RIO DO NORTE DISTRIBUIDORA - LTDA,26004,J,36094074000181,133276743113,A,(11) 95927-7849,,,,Rua Cabo Joao Monteiro da Rocha,79,Jardim Japao,02142020,São Paulo,SP,
17605709243,TRILHA TECNOLOGIA E SERVICOS,26003,J,48519063000185,135688808110,A,,,,,LEVY DA SILVA,45,JARDIM AMARALINA,05570130,São Paulo,SP,
17605708732,RAMOS COMERCIO DE VARIEDADES LTDA,26002,J,47349810000111,407967657112,A,(11) 94556-8464,,,,Rua Francisco Fernandes,44,Jardim Carlos Gomes,13216240,Jundiaí,SP,
